Category,Guardrail Type,Example Rule,Objective,Implementation Approach,Example Tools,Application Stage,Region
EU Banking Regulations,CRD VI Capital Requirements,Validate capital adequacy and risk discussions,Ensure compliance with EU banking capital regulations,"Capital ratio validation, risk-weighted asset calculations, regulatory capital compliance checks","Banking regulatory platforms, Capital adequacy tools, CRD compliance systems",Both,Europe
EU Banking Regulations,CRR Liquidity Coverage,Monitor liquidity requirement discussions,Comply with Capital Requirements Regulation liquidity rules,"Liquidity coverage ratio validation, funding stability checks, regulatory liquidity monitoring","Liquidity management systems, CRR compliance tools, Regulatory reporting platforms",Both,Europe
EU Banking Regulations,BRRD Bank Recovery,Handle bank resolution and recovery discussions,Comply with Bank Recovery and Resolution Directive,"Resolution planning validation, bail-in disclosure requirements, recovery plan compliance","BRRD compliance platforms, Resolution planning tools, Recovery planning systems",Output,Europe
EU Banking Regulations,EBA Guidelines Implementation,Apply European Banking Authority guidelines,Ensure compliance with EBA regulatory technical standards,"EBA guideline validation, regulatory technical standards compliance, supervisory review processes","EBA compliance tools, Regulatory guideline platforms, Supervisory compliance systems",Both,Europe
EU Banking Regulations,EMIR Derivatives Reporting,Handle derivative transaction reporting requirements,Comply with European Market Infrastructure Regulation,"Derivative transaction validation, clearing obligation checks, trade repository reporting","EMIR compliance platforms, Derivative reporting tools, Trade repository systems",Both,Europe
EU Investment Services,MiFID II Client Classification,Properly classify clients for investment services,Ensure appropriate investor protection levels,"Professional/retail client classification, appropriateness assessments, client category validation","MiFID II platforms, Client classification tools, Investor protection systems",Both,Europe
EU Investment Services,MiFID II Best Execution,Ensure best execution policy compliance,Provide best possible execution for client orders,"Execution venue analysis, best execution reporting, execution quality validation","Best execution platforms, Order execution tools, Execution quality systems",Output,Europe
EU Investment Services,PRIIPS Key Information,Provide mandatory product information documents,Ensure proper investment product disclosure,"PRIIPS KID validation, product information accuracy, regulatory disclosure compliance","PRIIPS platforms, Product information tools, Disclosure management systems",Output,Europe
EU Investment Services,AIFMD Fund Management,Handle alternative investment fund discussions,Comply with Alternative Investment Fund Managers Directive,"AIFMD compliance validation, fund manager authorization, investor disclosure requirements","AIFMD platforms, Fund management tools, Alternative investment systems",Both,Europe
EU Investment Services,UCITS Fund Regulations,Ensure UCITS fund compliance discussions,Comply with Undertakings for Collective Investment regulations,"UCITS eligibility validation, fund structure compliance, investor protection requirements","UCITS platforms, Fund compliance tools, Collective investment systems",Both,Europe
EU Payment Services,PSD2 Strong Authentication,Implement strong customer authentication for payments,Comply with Payment Services Directive authentication requirements,"Multi-factor authentication validation, SCA compliance checking, payment security protocols","PSD2 SCA platforms, Authentication systems, Payment security tools",Both,Europe
EU Payment Services,PSD2 Open Banking,Handle open banking data sharing requests,Comply with PSD2 account information service requirements,"API access validation, consent management, third-party provider authentication","Open banking platforms, API management tools, Consent management systems",Both,Europe
EU Payment Services,PSD2 Payment Initiation,Validate payment initiation service discussions,Ensure compliant third-party payment services,"Payment initiation validation, third-party access controls, transaction security measures","Payment initiation platforms, Third-party access tools, Transaction security systems",Both,Europe
EU Consumer Protection,CCD Consumer Credit,Handle consumer credit information properly,Comply with Consumer Credit Directive requirements,"Credit information validation, consumer protection measures, responsible lending checks","Consumer credit platforms, Responsible lending tools, Credit protection systems",Both,Europe
EU Consumer Protection,MCD Mortgage Credit,Ensure mortgage credit directive compliance,Provide compliant mortgage information and advice,"Mortgage affordability assessments, creditworthiness evaluation, consumer protection validation","Mortgage compliance platforms, Affordability assessment tools, Credit evaluation systems",Both,Europe
US Federal Banking,FDIC Insurance Compliance,Provide accurate deposit insurance information,Ensure proper FDIC insurance disclosure and coverage,"FDIC insurance validation, coverage calculation, deposit protection information","FDIC compliance platforms, Insurance coverage tools, Deposit protection systems",Output,United States
US Federal Banking,OCC National Bank Oversight,Handle national bank regulatory discussions,Comply with Office of Comptroller of Currency regulations,"OCC regulation validation, national bank compliance, supervisory guidance implementation","OCC compliance platforms, National bank tools, Supervisory compliance systems",Both,United States
US Federal Banking,Fed Reserve Regulations,Ensure Federal Reserve regulation compliance,Comply with Federal Reserve banking regulations,"Fed regulation validation, monetary policy compliance, banking supervision requirements","Federal Reserve platforms, Banking regulation tools, Supervisory compliance systems",Both,United States
US Federal Banking,FFIEC Examination Guidelines,Handle bank examination and compliance discussions,Comply with Federal Financial Institutions Examination Council standards,"FFIEC guideline validation, examination preparation, compliance assessment","FFIEC platforms, Examination tools, Compliance assessment systems",Both,United States
US Consumer Protection,CFPB Regulation E,Handle electronic fund transfer regulations,Comply with Consumer Financial Protection Bureau Regulation E,"EFT error resolution, consumer liability limits, disclosure requirements validation","CFPB compliance platforms, EFT protection tools, Consumer disclosure systems",Both,United States
US Consumer Protection,CFPB Regulation Z,Ensure Truth in Lending Act compliance,Provide accurate lending cost disclosure and consumer protection,"APR calculation validation, lending disclosure requirements, consumer protection measures","Truth in lending platforms, APR calculation tools, Lending disclosure systems",Both,United States
